date,type,locale,locale_name,description,transferred,Related to Quito,"Holiday, Event"
10/8/2012,Holiday,National,Ecuador,Primer Grito de Independencia,FALSE,Yes,Holiday
9/10/2012,Holiday,National,Ecuador,Independencia de Guayaquil,TRUE,Yes,Workday
12/10/2012,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,FALSE,Yes,Holiday
2/11/2012,Holiday,National,Ecuador,Dia de Difuntos,FALSE,Yes,Holiday
3/11/2012,Holiday,National,Ecuador,Independencia de Cuenca,FALSE,Yes,Holiday
5/12/2012,Additional,Local,Quito,Fundacion de Quito-1,FALSE,Yes,Holiday
6/12/2012,Holiday,Local,Quito,Fundacion de Quito,FALSE,Yes,Holiday
21/12/2012,Additional,National,Ecuador,Navidad-4,FALSE,Yes,Holiday
22/12/2012,Additional,National,Ecuador,Navidad-3,FALSE,Yes,Holiday
23/12/2012,Additional,National,Ecuador,Navidad-2,FALSE,Yes,Holiday
24/12/2012,Bridge,National,Ecuador,Puente Navidad,FALSE,Yes,Holiday
24/12/2012,Additional,National,Ecuador,Navidad-1,FALSE,Yes,Holiday
25/12/2012,Holiday,National,Ecuador,Navidad,FALSE,Yes,Holiday
26/12/2012,Additional,National,Ecuador,Navidad+1,FALSE,Yes,Holiday
31/12/2012,Bridge,National,Ecuador,Puente Primer dia del ano,FALSE,Yes,Holiday
31/12/2012,Additional,National,Ecuador,Primer dia del ano-1,FALSE,Yes,Holiday
1/1/2013,Holiday,National,Ecuador,Primer dia del ano,FALSE,Yes,Holiday
5/1/2013,Work Day,National,Ecuador,Recupero puente Navidad,FALSE,Yes,Holiday
12/1/2013,Work Day,National,Ecuador,Recupero puente primer dia del ano,FALSE,Yes,Holiday
11/2/2013,Holiday,National,Ecuador,Carnaval,FALSE,Yes,Holiday
12/2/2013,Holiday,National,Ecuador,Carnaval,FALSE,Yes,Holiday
29/4/2013,Holiday,National,Ecuador,Viernes Santo,FALSE,Yes,Holiday
1/5/2013,Holiday,National,Ecuador,Dia del Trabajo,FALSE,Yes,Holiday
11/5/2013,Additional,National,Ecuador,Dia de la Madre-1,FALSE,Yes,Holiday
12/5/2013,Event,National,Ecuador,Dia de la Madre,FALSE,Yes,Dia de la Madre
24/5/2013,Holiday,National,Ecuador,Batalla de Pichincha,FALSE,Yes,Holiday
10/8/2013,Holiday,National,Ecuador,Primer Grito de Independencia,FALSE,Yes,Holiday
9/10/2013,Holiday,National,Ecuador,Independencia de Guayaquil,TRUE,Yes,Workday
11/10/2013,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,FALSE,Yes,Holiday
2/11/2013,Holiday,National,Ecuador,Dia de Difuntos,FALSE,Yes,Holiday
3/11/2013,Holiday,National,Ecuador,Independencia de Cuenca,FALSE,Yes,Holiday
5/12/2013,Additional,Local,Quito,Fundacion de Quito-1,FALSE,Yes,Holiday
6/12/2013,Holiday,Local,Quito,Fundacion de Quito,FALSE,Yes,Holiday
21/12/2013,Additional,National,Ecuador,Navidad-4,FALSE,Yes,Holiday
22/12/2013,Additional,National,Ecuador,Navidad-3,FALSE,Yes,Holiday
23/12/2013,Additional,National,Ecuador,Navidad-2,FALSE,Yes,Holiday
24/12/2013,Additional,National,Ecuador,Navidad-1,FALSE,Yes,Holiday
25/12/2013,Holiday,National,Ecuador,Navidad,FALSE,Yes,Holiday
26/12/2013,Additional,National,Ecuador,Navidad+1,FALSE,Yes,Holiday
31/12/2013,Additional,National,Ecuador,Primer dia del ano-1,FALSE,Yes,Holiday
1/1/2014,Holiday,National,Ecuador,Primer dia del ano,FALSE,Yes,Holiday
3/3/2014,Holiday,National,Ecuador,Carnaval,FALSE,Yes,Holiday
4/3/2014,Holiday,National,Ecuador,Carnaval,FALSE,Yes,Holiday
